평균공부시간(1주일),평균수면시간(1일),학점(4.5만점)
5,6,3.15
7,5.5,3
25,8,3.85
10,7,3.2
28,6,3.94
14,7,3.45
14,7,3.3
5,4,2.85
15,5.5,3.3
5,7,1.85
21,6,3.65
6,3,3.25
12,7,3.5
21,8,4
19,8,3.3
13,4.5,3.3
6,7,2.6
30,7,3.83
12.16,6,3.48
10,8,2.9
24,7,4.05
18,8,3.69
15,8,3.1
22,7,3.6
28,8,3.91
28,7,4.14
8,7,3.21
35,8,4.28
10.5,5,3.5
27,7,4.15
6,5,3.05
20,7,3.5
14,7,3.3
8,5,2.8
5,7,2.4
13,5,3.15
18,7,2.85
28,7,4.17
10,7,3.38
3,8,2.79
12,7,3.1
11,7,3.5
7,4,2.51
5,7,3.2
14.5,8,3.35
17.16,7,3.75
19.5,7.5,3.67
6,7,3
22,6.5,3.6
2,7.33,2
1,7,1.8
5,6,3
15,7,3.35
14,7,3.7
20,6,3
6,7,2.5
9,8,2.75
18.5,7,3.5
3,7,2.5
29,7.5,4.21
30,7.5,3.99
20,7,3.6
5,6,2.6
3,6,2.5
25,7,3.8
18,5,3.45
28,7,4.21
5,7,3.05
24,7,4
4,7,2.55
28,8,3.84
19,3,3.7
5,8,3
5,6,3.18
14,6,3.56
21,6.5,4
12,7,3
16,7,3
10,8,3.3
27,7,3.95
28,8,3.95
26,6,4.1
8,8.5,3
32,7.17,3.85
1,7,1.8
23,8,3.6
13,7.66,3.45
1,7,1.65
15,6,3.38
13,6,3
4,6.83,2.5
10,6.5,3.4
5,5,3.15
1,7,1.8
9,6.5,3
6.5,8,2.55
7,6.5,3.16
24,9,3.85
27,7,3.94
25,5,4.24
10,7,3
6,4,2.9
23,7,3.38
14.5,7.5,3.35
16,7,3.2
14,8,3.55
4,6,2.78
